nom,date,national_logistics_en
DRC,30-05-2026,"A total of 27 vehicles and 4 ambulances were deployed. UNICEF delivered motorcycles to multiple locations. Monitoring of construction works for Ebola Treatment Centres was conducted at three hospitals. The reception of 1,800 motorcycles from the Central Government began, designated for all pillar teams in Ituri."
DRC,31-05-2026,"Thirty motorcycles were received as logistical support from the central government for surveillance and coordination. Additionally, 162 blood bags were received for transfusion care to support continuity of essential health services."
DRC,01-06-2026,"Support was provided to all response pillars through vehicle fleet deployment. Motorcycle deliveries, supplied by UNICEF, continued to health zones."
DRC,02-06-2026,"Support was provided to all response pillars through vehicle fleet deployment. Motorcycle deliveries, supplied by UNICEF, continued to health zones."
DRC,01-07-2026,"26 vehicles, 4 ambulances deployed; essential drugs and communication supplies delivered to multiple sites."
DRC,05-07-2026,"Logistics operations include infrastructure construction and supply deliveries: 367L fuel, 224kg equipment for INSP, IPC supplies, and 25 vehicles deployed in Ituri; supplies delivered to M'PA health zone in North Kivu."
DRC,06-07-2026,"Mobility ensured for response pillars; IT equipment, drugs, and PCI supplies received; motorcycles prepared for delivery."
DRC,08-07-2026,"2 tents erected; 4 motorcycles and 4 vehicles deployed to Mandima, Mangala, and Nizi for EDS. 25 vehicles and 4 ambulances available."
DRC,13-07-2026,"Moto delivered to Ituri PoE/PoC. Lab installation planned Mambasa/Logo. IPC kits and medicines delivered Nord-Kivu. Mobile vehicle repaired. Ambulance prepositioning needed."
DRC,15-07-2026,"1,858 kg of supplies delivered; 27 vehicles and 4 ambulances deployed; labs planned for Mambasa and Logo."
DRC,17-07-2026,"Supplies delivered to Nia-Nia; 27 vehicles and 4 ambulances in Ituri; medicines/PCI to North Kivu; logistics support in Tshopo."
DRC,18-07-2026,"2,440 kg of kits delivered to Ituri; communication tools deployed; water supply at PK23; medicines stored in Tshopo."
